"ID","hole_robbing","num_larvae_I","num_larvae_II","weevil_grey","weevil_black","notes"
"pA0869",1,2,NA,NA,NA,"10 brown eggs together"
"pA0114",1,0,1,NA,NA,"2 larvae different"
"pA0125",1,0,1,NA,NA,"I reach adulthood with photo. It is probably a sirphydae (see mail of Alex)"
"pA0248",1,0,1,NA,NA,"I reach adulthood with photo. It is probably a sirfidae (see mail of Alex)"
"pA0515",1,1,NA,NA,NA,NA
"pA0077",0,0,1,NA,NA,"larvae II (envelope)"
"pA0007",1,1,NA,NA,NA,"Larvae was in the middle of the hole"
"pA0995",0,0,NA,NA,2,NA
"pA0018",1,0,NA,NA,NA,"ugly flower"
"pA0432",0,0,1,NA,NA,NA
"pA0662",1,0,NA,NA,NA,NA
"pA1212",1,0,NA,NA,NA,NA
"pA0361",1,0,1,NA,2,NA
"pA0363",1,1,NA,NA,2,NA
"pA0964",1,1,NA,NA,2,NA
"pA0577",1,0,NA,NA,2,NA
"pA0998",1,0,NA,NA,2,NA
"pA1254",0,0,NA,NA,2,NA
"pA0347",1,1,NA,1,1,NA
"pA0135",1,0,NA,1,1,NA
"pA0883",1,0,2,NA,1,NA
"pA0106",1,1,1,NA,1,NA
"pA0444",1,2,NA,NA,1,NA
"pA0792",0,2,NA,NA,1,NA
"pA1013",1,1,NA,NA,1,NA
"pA1059",0,1,NA,NA,1,NA
"pA0002",1,0,NA,NA,1,NA
"pA0035",1,0,NA,NA,1,NA
"pA0102",1,0,NA,NA,1,NA
"pA0122",1,0,NA,NA,1,NA
"pA0148",1,0,NA,NA,1,NA
"pA0150",1,0,NA,NA,1,NA
"pA0154",1,0,NA,NA,1,NA
"pA0181",1,0,NA,NA,1,NA
"pA0302",1,0,NA,NA,1,NA
"pA0313",1,0,NA,NA,1,NA
"pA0375",1,0,NA,NA,1,NA
"pA0377",1,0,NA,NA,1,NA
"pA0436",1,0,NA,NA,1,NA
"pA0456",1,0,NA,NA,1,NA
"pA0584",1,0,NA,NA,1,NA
"pA0816",1,0,NA,NA,1,NA
"pA0865",1,0,NA,NA,1,NA
"pA0876",1,0,NA,NA,1,NA
"pA0893",1,0,NA,NA,1,NA
"pA0968",1,0,NA,NA,1,NA
"pA1001",1,0,NA,NA,1,NA
"pA0190",0,0,NA,NA,1,NA
"pA0272",0,0,NA,NA,1,NA
"pA0463",0,0,NA,NA,1,NA
"pA0519",0,0,NA,NA,1,NA
"pA0618",0,0,NA,NA,1,NA
"pA0981",0,0,NA,NA,1,NA
"pA0224",1,0,0,1,NA,NA
"pA0508",1,0,0,1,NA,NA
"pA0512",1,1,NA,1,NA,NA
"pA0686",1,1,NA,1,NA,NA
"pA0085",1,0,NA,1,NA,NA
"pA0123",1,0,NA,1,NA,NA
"pA0139",1,0,NA,1,NA,NA
"pA0156",1,0,NA,1,NA,NA
"pA0619",1,0,NA,1,NA,NA
"pA0910",1,0,NA,1,NA,NA
"pA1130",1,0,1,2,NA,NA
"pA0581",1,0,NA,2,NA,NA
"pA1047",1,0,NA,2,NA,NA
"pA0538",1,0,2,NA,NA,NA
"pA0712",1,0,2,NA,NA,NA
"pA0763",1,0,2,NA,NA,NA
"pA0923",1,0,2,NA,NA,NA
"pA0482",0,0,2,NA,NA,NA
"pA0605",NA,3,1,NA,NA,NA
"pA0918",1,2,1,NA,NA,NA
"pA0411",1,1,1,NA,NA,NA
"pA0831",1,1,1,NA,NA,NA
"pA0605",0,1,1,NA,NA,NA
"pA1115",0,1,1,NA,NA,NA
"pA0103",1,0,1,NA,NA,NA
"pA0230",1,0,1,NA,NA,NA
"pA0251",1,0,1,NA,NA,NA
"pA0257",1,0,1,NA,NA,NA
"pA0271",1,0,1,NA,NA,NA
"pA0287",1,0,1,NA,NA,NA
"pA0294",1,0,1,NA,NA,NA
"pA0367",1,0,1,NA,NA,NA
"pA0372",1,0,1,NA,NA,NA
"pA0404",1,0,1,NA,NA,NA
"pA0455",1,0,1,NA,NA,NA
"pA0496",1,0,1,NA,NA,NA
"pA0507",1,0,1,NA,NA,NA
"pA0511",1,0,1,NA,NA,NA
"pA0563",1,0,1,NA,NA,NA
"pA0576",1,0,1,NA,NA,NA
"pA0589",1,0,1,NA,NA,NA
"pA0614",1,0,1,NA,NA,NA
"pA0664",1,0,1,NA,NA,NA
"pA0717",1,0,1,NA,NA,NA
"pA0721",1,0,1,NA,NA,NA
"pA0756",1,0,1,NA,NA,NA
"pA0772",1,0,1,NA,NA,NA
"pA0828",1,0,1,NA,NA,NA
"pA0829",1,0,1,NA,NA,NA
"pA0845",1,0,1,NA,NA,NA
"pA0907",1,0,1,NA,NA,NA
"pA1017",1,0,1,NA,NA,NA
"pA1119",1,0,1,NA,NA,NA
"pA1122",1,0,1,NA,NA,NA
"pA0304",0,0,1,NA,NA,NA
"pA0590",0,0,1,NA,NA,NA
"pA0602",0,0,1,NA,NA,NA
"pA0702",0,0,1,NA,NA,NA
"pA0855",0,0,1,NA,NA,NA
"pA0771",1,NA,1,NA,NA,NA
"pA0529",1,0,0,NA,NA,NA
"pA0326",1,8,NA,NA,NA,NA
"pA0671",1,6,NA,NA,NA,NA
"pA0061",1,5,NA,NA,NA,NA
"pA0625",1,5,NA,NA,NA,NA
"pA0655",1,5,NA,NA,NA,NA
"pA0985",1,5,NA,NA,NA,NA
"pA0414",0,5,NA,NA,NA,NA
"pA0334",1,4,NA,NA,NA,NA
"pA0783",1,4,NA,NA,NA,NA
"pA1064",1,4,NA,NA,NA,NA
"pA0104",0,4,NA,NA,NA,NA
"pA0678",0,4,NA,NA,NA,NA
"pA0822",0,4,NA,NA,NA,NA
"pA0905",0,4,NA,NA,NA,NA
"pA0993",0,4,NA,NA,NA,NA
"pA0043",1,3,NA,NA,NA,NA
"pA0062",1,3,NA,NA,NA,NA
"pA0297",1,3,NA,NA,NA,NA
"pA0484",1,3,NA,NA,NA,NA
"pA0565",1,3,NA,NA,NA,NA
"pA0567",1,3,NA,NA,NA,NA
"pA0711",1,3,NA,NA,NA,NA
"pA0813",1,3,NA,NA,NA,NA
"pA0022",0,3,NA,NA,NA,NA
"pA0452",0,3,NA,NA,NA,NA
"pA0075",1,2,NA,NA,NA,NA
"pA0089",1,2,NA,NA,NA,NA
"pA0141",1,2,NA,NA,NA,NA
"pA0157",1,2,NA,NA,NA,NA
"pA0173",1,2,NA,NA,NA,NA
"pA0188",1,2,NA,NA,NA,NA
"pA0225",1,2,NA,NA,NA,NA
"pA0250",1,2,NA,NA,NA,NA
"pA0286",1,2,NA,NA,NA,NA
"pA0405",1,2,NA,NA,NA,NA
"pA0431",1,2,NA,NA,NA,NA
"pA0592",1,2,NA,NA,NA,NA
"pA0637",1,2,NA,NA,NA,NA
"pA0720",1,2,NA,NA,NA,NA
"pA0780",1,2,NA,NA,NA,NA
"pA0858",1,2,NA,NA,NA,NA
"pA0878",1,2,NA,NA,NA,NA
"pA0914",1,2,NA,NA,NA,NA
"pA0933",1,2,NA,NA,NA,NA
"pA1041",1,2,NA,NA,NA,NA
"pA1074",1,2,NA,NA,NA,NA
"pA1111",1,2,NA,NA,NA,NA
"pA1206",1,2,NA,NA,NA,NA
"pA1243",1,2,NA,NA,NA,NA
"pA0392",0,2,NA,NA,NA,NA
"pA0555",0,2,NA,NA,NA,NA
"pA0582",0,2,NA,NA,NA,NA
"pA0737",0,2,NA,NA,NA,NA
"pA0768",0,2,NA,NA,NA,NA
"pA0840",0,2,NA,NA,NA,NA
"pA0862",0,2,NA,NA,NA,NA
"pA0965",0,2,NA,NA,NA,NA
"pA1069",0,2,NA,NA,NA,NA
"pA1118",0,2,NA,NA,NA,NA
