ID,hole_robbing,num_larvae_I,num_larvae_II,weevil_grey,weevil_black,notes
pA0869,1,2,,,,10 brown eggs together
pA0114,1,0,1,,,2 larvae different 
pA0125,1,0,1,,,I reach adulthood with photo. It is probably a sirphydae (see mail of Alex)
pA0248,1,0,1,,,I reach adulthood with photo. It is probably a sirfidae (see mail of Alex)
pA0515,1,1,,,,
pA0077,0,0,1,,,larvae II (envelope)
pA0007,1,1,,,,Larvae was in the middle of the hole
pA0995,0,0,,,2,
pA0018,1,0,,,,ugly flower
pA0432,0,0,1,,,
pA0662,1,0,,,,
pA1212,1,0,,,,
pA0361,1,0,1,,2,
pA0363,1,1,,,2,
pA0964,1,1,,,2,
pA0577,1,0,,,2,
pA0998,1,0,,,2,
pA1254,0,0,,,2,
pA0347,1,1,,1,1,
pA0135,1,0,,1,1,
pA0883,1,0,2,,1,
pA0106,1,1,1,,1,
pA0444,1,2,,,1,
pA0792,0,2,,,1,
pA1013,1,1,,,1,
pA1059,0,1,,,1,
pA0002,1,0,,,1,
pA0035,1,0,,,1,
pA0102,1,0,,,1,
pA0122,1,0,,,1,
pA0148,1,0,,,1,
pA0150,1,0,,,1,
pA0154,1,0,,,1,
pA0181,1,0,,,1,
pA0302,1,0,,,1,
pA0313,1,0,,,1,
pA0375,1,0,,,1,
pA0377,1,0,,,1,
pA0436,1,0,,,1,
pA0456,1,0,,,1,
pA0584,1,0,,,1,
pA0816,1,0,,,1,
pA0865,1,0,,,1,
pA0876,1,0,,,1,
pA0893,1,0,,,1,
pA0968,1,0,,,1,
pA1001,1,0,,,1,
pA0190,0,0,,,1,
pA0272,0,0,,,1,
pA0463,0,0,,,1,
pA0519,0,0,,,1,
pA0618,0,0,,,1,
pA0981,0,0,,,1,
pA0224,1,0,0,1,,
pA0508,1,0,0,1,,
pA0512,1,1,,1,,
pA0686,1,1,,1,,
pA0085,1,0,,1,,
pA0123,1,0,,1,,
pA0139,1,0,,1,,
pA0156,1,0,,1,,
pA0619,1,0,,1,,
pA0910,1,0,,1,,
pA1130,1,0,1,2,,
pA0581,1,0,,2,,
pA1047,1,0,,2,,
pA0538,1,0,2,,,
pA0712,1,0,2,,,
pA0763,1,0,2,,,
pA0923,1,0,2,,,
pA0482,0,0,2,,,
pA0605,,3,1,,,
pA0918,1,2,1,,,
pA0411,1,1,1,,,
pA0831,1,1,1,,,
pA0605,0,1,1,,,
pA1115,0,1,1,,,
pA0103,1,0,1,,,
pA0230,1,0,1,,,
pA0251,1,0,1,,,
pA0257,1,0,1,,,
pA0271,1,0,1,,,
pA0287,1,0,1,,,
pA0294,1,0,1,,,
pA0367,1,0,1,,,
pA0372,1,0,1,,,
pA0404,1,0,1,,,
pA0455,1,0,1,,,
pA0496,1,0,1,,,
pA0507,1,0,1,,,
pA0511,1,0,1,,,
pA0563,1,0,1,,,
pA0576,1,0,1,,,
pA0589,1,0,1,,,
pA0614,1,0,1,,,
pA0664,1,0,1,,,
pA0717,1,0,1,,,
pA0721,1,0,1,,,
pA0756,1,0,1,,,
pA0772,1,0,1,,,
pA0828,1,0,1,,,
pA0829,1,0,1,,,
pA0845,1,0,1,,,
pA0907,1,0,1,,,
pA1017,1,0,1,,,
pA1119,1,0,1,,,
pA1122,1,0,1,,,
pA0304,0,0,1,,,
pA0590,0,0,1,,,
pA0602,0,0,1,,,
pA0702,0,0,1,,,
pA0855,0,0,1,,,
pA0771,1,,1,,,
pA0529,1,0,0,,,
pA0326,1,8,,,,
pA0671,1,6,,,,
pA0061,1,5,,,,
pA0625,1,5,,,,
pA0655,1,5,,,,
pA0985,1,5,,,,
pA0414,0,5,,,,
pA0334,1,4,,,,
pA0783,1,4,,,,
pA1064,1,4,,,,
pA0104,0,4,,,,
pA0678,0,4,,,,
pA0822,0,4,,,,
pA0905,0,4,,,,
pA0993,0,4,,,,
pA0043,1,3,,,,
pA0062,1,3,,,,
pA0297,1,3,,,,
pA0484,1,3,,,,
pA0565,1,3,,,,
pA0567,1,3,,,,
pA0711,1,3,,,,
pA0813,1,3,,,,
pA0022,0,3,,,,
pA0452,0,3,,,,
pA0075,1,2,,,,
pA0089,1,2,,,,
pA0141,1,2,,,,
pA0157,1,2,,,,
pA0173,1,2,,,,
pA0188,1,2,,,,
pA0225,1,2,,,,
pA0250,1,2,,,,
pA0286,1,2,,,,
pA0405,1,2,,,,
pA0431,1,2,,,,
pA0592,1,2,,,,
pA0637,1,2,,,,
pA0720,1,2,,,,
pA0780,1,2,,,,
pA0858,1,2,,,,
pA0878,1,2,,,,
pA0914,1,2,,,,
pA0933,1,2,,,,
pA1041,1,2,,,,
pA1074,1,2,,,,
pA1111,1,2,,,,
pA1206,1,2,,,,
pA1243,1,2,,,,
pA0392,0,2,,,,
pA0555,0,2,,,,
pA0582,0,2,,,,
pA0737,0,2,,,,
pA0768,0,2,,,,
pA0840,0,2,,,,
pA0862,0,2,,,,
pA0965,0,2,,,,
pA1069,0,2,,,,
pA1118,0,2,,,,
pA1171,0,2,,,,
pA0015,1,1,,,,
pA0026,1,1,,,,
pA0029,1,1,,,,
pA0033,1,1,,,,
pA0036,1,1,,,,
pA0041,1,1,,,,
pA0042,1,1,,,,
pA0049,1,1,,,,
pA0052,1,1,,,,
pA0076,1,1,,,,
pA0090,1,1,,,,
pA0095,1,1,,,,
pA0109,1,1,,,,
pA0134,1,1,,,,
pA0137,1,1,,,,
pA0153,1,1,,,,
pA0160,1,1,,,,
pA0171,1,1,,,,
pA0194,1,1,,,,
pA0197,1,1,,,,
pA0198,1,1,,,,
pA0204,1,1,,,,
pA0210,1,1,,,,
pA0216,1,1,,,,
pA0231,1,1,,,,
pA0232,1,1,,,,
pA0277,1,1,,,,
pA0288,1,1,,,,
pA0290,1,1,,,,
pA0295,1,1,,,,
pA0325,1,1,,,,
pA0337,1,1,,,,
pA0354,1,1,,,,
pA0369,1,1,,,,
pA0389,1,1,,,,
pA0408,1,1,,,,
pA0413,1,1,,,,
pA0417,1,1,,,,
pA0449,1,1,,,,
pA0481,1,1,,,,
pA0493,1,1,,,,
pA0499,1,1,,,,
pA0502,1,1,,,,
pA0510,1,1,,,,
pA0542,1,1,,,,
pA0559,1,1,,,,
pA0572,1,1,,,,
pA0630,1,1,,,,
pA0639,1,1,,,,
pA0676,1,1,,,,
pA0681,1,1,,,,
pA0693,1,1,,,,
pA0699,1,1,,,,
pA0707,1,1,,,,
pA0731,1,1,,,,
pA0740,1,1,,,,
pA0749,1,1,,,,
pA0750,1,1,,,,
pA0754,1,1,,,,
pA0764,1,1,,,,
pA0777,1,1,,,,
pA0797,1,1,,,,
pA0901,1,1,,,,
pA0912,1,1,,,,
pA0932,1,1,,,,
pA0941,1,1,,,,
pA0947,1,1,,,,
pA0953,1,1,,,,
pA0960,1,1,,,,
pA0988,1,1,,,,
pA1012,1,1,,,,
pA1029,1,1,,,,
pA1044,1,1,,,,
pA1051,1,1,,,,
pA1070,1,1,,,,
pA1085,1,1,,,,
pA1098,1,1,,,,
pA1133,1,1,,,,
pA1186,1,1,,,,
pA0011,0,1,,,,
pA0012,0,1,,,,
pA0021,0,1,,,,
pA0064,0,1,,,,
pA0282,0,1,,,,
pA0284,0,1,,,,
pA0303,0,1,,,,
pA0425,0,1,,,,
pA0464,0,1,,,,
pA0533,0,1,,,,
pA0609,0,1,,,,
pA0620,0,1,,,,
pA0624,0,1,,,,
pA0648,0,1,,,,
pA0650,0,1,,,,
pA0651,0,1,,,,
pA0653,0,1,,,,
pA0654,0,1,,,,
pA0661,0,1,,,,
pA0667,0,1,,,,
pA0726,0,1,,,,
pA0804,0,1,,,,
pA0841,0,1,,,,
pA0900,0,1,,,,
pA0927,0,1,,,,
pA0931,0,1,,,,
pA1002,0,1,,,,
pA1009,0,1,,,,
pA1124,0,1,,,,
pA1127,0,1,,,,
pA1128,0,1,,,,
pA1149,0,1,,,,
pA1172,0,1,,,,
pA1205,0,1,,,,
pA1211,0,1,,,,
pA0001,1,0,,,,
pA0002,1,0,,,,
pA0003,1,0,,,,
pA0006,1,0,,,,
pA0010,1,0,,,,
pA0013,1,0,,,,
pA0014,1,0,,,,
pA0016,1,0,,,,
pA0017,1,0,,,,
pA0019,1,0,,,,
pA0024,1,0,,,,
pA0025,1,0,,,,
pA0028,1,0,,,,
pA0030,1,0,,,,
pA0031,1,0,,,,
pA0032,1,0,,,,
pA0034,1,0,,,,
pA0037,1,0,,,,
pA0038,1,0,,,,
pA0039,1,0,,,,
pA0040,1,0,,,,
pA0044,1,0,,,,
pA0045,1,0,,,,
pA0046,1,0,,,,
pA0047,1,0,,,,
pA0048,1,0,,,,
pA0051,1,0,,,,
pA0053,1,0,,,,
pA0054,1,0,,,,
pA0055,1,0,,,,
pA0056,1,0,,,,
pA0057,1,0,,,,
pA0058,1,0,,,,
pA0059,1,0,,,,
pA0060,1,0,,,,
pA0065,1,0,,,,
pA0066,1,0,,,,
pA0067,1,0,,,,
pA0069,1,0,,,,
pA0070,1,0,,,,
pA0071,1,0,,,,
pA0072,1,0,,,,
pA0073,1,0,,,,
pA0074,1,0,,,,
pA0078,1,0,,,,
pA0079,1,0,,,,
pA008,1,0,,,,
pA0082,1,0,,,,
pA00835,1,0,,,,
pA0084,1,0,,,,
pA0087,1,0,,,,
pA0088,1,0,,,,
pA0093,1,0,,,,
pA0097,1,0,,,,
pA0098,1,0,,,,
pA0099,1,0,,,,
pA0101,1,0,,,,
pA0105,1,0,,,,
pA0108,1,0,,,,
pA0111,1,0,,,,
pA0112,1,0,,,,
pA0113,1,0,,,,
pA0115,1,0,,,,
pA0116,1,0,,,,
pA0117,1,0,,,,
pA0118,1,0,,,,
pA0119,1,0,,,,
pA0120,1,0,,,,
pA0121,1,0,,,,
pA0124,1,0,,,,
pA0126,1,0,,,,
pA0127,1,0,,,,
pA0128,1,0,,,,
pA0129,1,0,,,,
pA0130,1,0,,,,
pA0131,1,0,,,,
pA0132,1,0,,,,
pA0133,1,0,,,,
pA0136,1,0,,,,
pA0140,1,0,,,,
pA0142,1,0,,,,
pA0143,1,0,,,,
pA0145,1,0,,,,
pA0147,1,0,,,,
pA0149,1,0,,,,
pA0151,1,0,,,,
pA0152,1,0,,,,
pA0155,1,0,,,,
pA0158,1,0,,,,
pA0159,1,0,,,,
pA0161,1,0,,,,
pA0162,1,0,,,,
pA0163,1,0,,,,
pA0164,1,0,,,,
pA0165,1,0,,,,
pA0166,1,0,,,,
pA0168,1,0,,,,
pA0174,1,0,,,,
pA0175,1,0,,,,
pA0176,1,0,,,,
pA0177,1,0,,,,
pA0178,1,0,,,,
pA0180,1,0,,,,
pA0183,1,0,,,,
pA0186,1,0,,,,
pA0187,1,0,,,,
pA0189,1,0,,,,
pA0192,1,0,,,,
pA0193,1,0,,,,
pA0196,1,0,,,,
pA0199,1,0,,,,
pA0200,1,0,,,,
pA0201,1,0,,,,
pA0202,1,0,,,,
pA0203,1,0,,,,
pA0205,1,0,,,,
pA0206,1,0,,,,
pA0208,1,0,,,,
pA0209,1,0,,,,
pA0211,1,0,,,,
pA0213,1,0,,,,
pA0214,1,0,,,,
pA0215,1,0,,,,
pA0217,1,0,,,,
pA0218,1,0,,,,
pA0219,1,0,,,,
pA0220,1,0,,,,
pA0221,1,0,,,,
pA0222,1,0,,,,
pA0226,1,0,,,,
pA0227,1,0,,,,
pA0228,1,0,,,,
pA0229,1,0,,,,
pA0235,1,0,,,,
pA0236,1,0,,,,
pA0237,1,0,,,,
pA0241,1,0,,,,
pA0242,1,0,,,,
pA0244,1,0,,,,
pA0245,1,0,,,,
pA0246,1,0,,,,
