Envelope_ID,Flank,Fruits,Holes
1,Magenta,2,1
2,Magenta,8,1
3,Magenta,6,3
4,Magenta,10,2
5,Magenta,7,2
6,Magenta,17,2
7,Magenta,2,1
8,Magenta,6,3
9,Magenta,6,2
10,Magenta,5,1
11,Magenta,9,2
12,Magenta,3,2
13,Magenta,7,1
14,Magenta,4,2
15,Magenta,6,5
16,Magenta,4,2
17,Magenta,9,2
18,Magenta,3,1
19,Magenta,5,1
20,Magenta,5,2
21,Magenta,8,3
22,Magenta,8,4
23,Magenta,8,3
24,Magenta,5,3
25,Magenta,7,3
26,Magenta,3,1
27,Magenta,12,5
28,Magenta,6,2
29,Magenta,2,1
30,Magenta,2,1
31,Magenta,2,1
32,Magenta,8,3
33,Magenta,6,4
34,Magenta,7,2
35,Magenta,3,1
36,Magenta,10,1
37,Magenta,27,6
38,Magenta,3,2
39,Magenta,3,1
40,Magenta,3,2
41,Yellow,21,3
42,Yellow,32,4
43,Yellow,8,2
44,Yellow,13,5
45,Yellow,7,2
46,Yellow,38,3
47,Yellow,3,1
48,Yellow,11,5
49,Yellow,8,1
50,Yellow,16,10
51,Yellow,27,3
52,Yellow,10,1
53,Yellow,12,2
54,Yellow,10,1
55,Yellow,50,9
56,Yellow,41,13
57,Yellow,34,5
58,Yellow,7,5
59,Yellow,5,1
60,Yellow,5,2
61,Yellow,10,9
62,Yellow,17,6
63,Yellow,59,17
64,Yellow,5,1
65,Yellow,4,1
66,Yellow,19,8
67,Yellow,12,3
68,Yellow,33,3
69,Yellow,3,1
70,Yellow,8,4
71,Yellow,22,3
72,Yellow,14,5
73,Yellow,16,5
74,Yellow,10,1
75,Yellow,26,8
76,Yellow,8,3
77,Yellow,27,2
78,Yellow,10,3
79,Yellow,3,2
80,Yellow,28,6
81,Yellow,4,3
82,Yellow,19,9
83,Yellow,6,1













































































































































































































































































































































































































































































































































































































































































































































































































































































































































