Envelope_ID,Colour_flower,Holes,Larvae_weevil,presence_indirect,area_fruit,num_seeds,average_area_seeds,Threshold,Notes,paired_test
1,magenta,1,0,0,0.87,303,0.007,0.005,,0
1,magenta,1,1,1,1.566,573,0.010,0.005,,0
2,magenta,0,0,0,1.119,289,0.011,0.005,,0
2,magenta,0,0,0,0.952,186,0.007,0.005,,0
3,magenta,0,0,0,1.147,446,0.006,0.005,,0
3,magenta,1,1,1,1.037,NA,NA,NA,In the photo doesn't appear the Envelope_ID so we had to discard it,0
4,magenta,0,0,0,1.310,322,0.007,0.005,,1
4,magenta,1,1,1,1.382,76,0.007,0.005,pupa (foto),1
5,magenta,0,0,0,0.942,225,0.010,0.005,,1
5,magenta,1,0,0,1.077,452,0.011,0.005,,1
6,magenta,0,0,0,1.452,762,0.005,0.003,,1
6,magenta,1,1,1,1.116,456,0.008,0.005,,1
7,magenta,0,0,0,1.044,364,0.013,0.005,,1
7,magenta,1,0,1,1.234,493,0.009,0.005,dust and crumbled seeds,1
8,magenta,0,0,0,1.232,190,0.007,0.003,,1
8,magenta,1,1,1,1.418,303,0.006,0.003,,1
10,magenta,0,0,0,1.563,466,0.006,0.003,,1
10,magenta,1,1,1,1.231,451,0.007,0.003,,1
11,magenta,0,0,0,1.459,723,0.009,0.005,,1
11,magenta,1,1,1,1.181,394,0.009,0.005,,1
12,magenta,0,0,0,1.363,377,0.012,0.005,,1
12,magenta,1,0,1,1.130,569,0.010,0.005,dust and crumbled seeds,1
13,magenta,0,0,0,1.266,826,0.013,0.005,,1
13,magenta,1,0,0,1.595,773,0.010,0.005,,1
14,magenta,0,0,0,1.473,676,0.005,0.003,,0
14,magenta,0,0,0,1.374,585,0.005,0.003,,0
15,magenta,0,0,0,0.670,28,NA,NA,There is no photo. this fruit has 28 seeds,1
15,magenta,1,1,1,0.885,136,0.009,0.005,,1
16,magenta,0,0,0,1.198,653,0.008,0.005,,1
16,magenta,1,1,1,1.158,476,0.009,0.005,,1
17,magenta,0,0,0,1.622,442,0.013,0.005,,0
17,magenta,0,0,0,1.614,537,0.014,0.005,,0
18,magenta,0,0,0,1.259,298,0.008,0.005,,0
18,magenta,0,0,0,1.183,434,0.005,0.003,,0
19,magenta,0,0,0,0.888,305,0.011,0.005,,1
19,magenta,1,1,1,1.244,604,0.008,0.005,,1
20,magenta,0,0,0,0.997,459,0.011,0.005,,1
20,magenta,1,1,1,0.959,283,0.010,0.005,,1
21,magenta,1,1,1,1.533,569,0.010,0.005,,0
21,magenta,1,1,1,1.596,203,0.004,0.003,,0
22,magenta,0,0,0,1.482,640,0.007,0.005,,0
22,magenta,0,0,0,1.247,602,0.008,0.005,,0
23,magenta,0,0,0,1.269,302,0.007,0.003,,1
23,magenta,1,0,0,1.035,199,0.007,0.003,,1
24,magenta,0,0,0,1.224,629,0.010,0.005,,1
24,magenta,1,1,1,1.393,244,0.070,0.005,,1
26,magenta,0,0,0,0.935,210,0.090,0.005,,1
26,magenta,1,1,1,0.868,74,0.009,0.005,,1
27,magenta,0,0,0,0.976,405,0.005,0.003,,1
27,magenta,1,1,1,1.033,290,0.006,0.003,,1
28,magenta,0,0,0,1.077,788,0.010,0.005,,1
28,magenta,1,1,1,0.951,557,0.009,0.005,,1
29,magenta,0,0,0,1.292,261,0.009,0.005,,1
29,magenta,1,0,0,1.364,554,0.010,0.005,,1
31,magenta,1,0,0,1.182,598,0.005,0.003,,0
31,magenta,1,1,1,1.267,151,0.007,0.005,,0
32,magenta,0,0,0,0.748,227,0.007,0.003,,1
32,magenta,1,0,0,0.993,461,0.006,0.003,,1
33,magenta,1,1,1,1.267,572,0.009,0.005,,0
33,magenta,1,1,1,1.227,540,0.007,0.005,,0
34,magenta,0,0,0,1.344,724,0.007,0.003,,1
34,magenta,1,1,1,1.339,553,0.006,0.003,,1
35,magenta,0,0,0,1.338,465,0.006,0.003,,1
35,magenta,1,0,0,0.741,236,0.005,0.003,,1
36,magenta,0,0,0,0.650,70,0.008,0.005,,1
36,magenta,1,1,1,0.578,0,NA,0.005,No photos because there is no seeds,1
41,yellow,0,0,0,1.109,516,0.011,0.005,,1
41,yellow,1,1,1,1.230,391,0.005,0.003,,1
42,yellow,0,0,0,1.422,790,0.005,0.003,,1
42,yellow,1,1,1,1.227,530,0.004,0.003,,1
43,yellow,0,0,0,1.001,560,0.006,0.003,,0
43,yellow,0,0,0,1.045,403,0.006,0.003,,0
44,yellow,0,0,0,1.591,822,0.009,0.005,,1
44,yellow,1,1,1,1.456,393,0.009,0.005,,1
45,yellow,0,0,0,1.147,482,0.006,0.003,,1
45,yellow,1,1,1,0.637,124,0.009,0.005,,1
46,yellow,0,0,0,1.220,715,0.011,0.005,,1
46,yellow,1,1,1,1.166,400,0.005,0.003,,1
47,yellow,0,0,0,0.770,364,0.005,0.003,,1
