"dataset.id","interaction","year","date","envelope.id.field","survey.id","pres.holes","pres.larvae","pres.indirect","false.positive","false.negative","error"
"seed.pred.env_2020","seed.pred","2020",NA,1,NA,1,0,0,1,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,1,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,2,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,2,NA,0,0,0,0,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,3,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,3,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,4,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,4,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,5,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,5,NA,1,0,0,1,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,6,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,6,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,7,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,7,NA,1,0,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,8,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,8,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,10,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,10,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,11,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,11,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,12,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,12,NA,1,0,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,13,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,13,NA,1,0,0,1,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,14,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,14,NA,0,0,0,0,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,15,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,15,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,16,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,16,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,17,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,17,NA,0,0,0,0,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,18,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,18,NA,0,0,0,0,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,19,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,19,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,20,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,20,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,21,NA,1,1,1,0,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,21,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,22,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,22,NA,0,0,0,0,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,23,NA,1,0,0,1,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,23,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,24,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,24,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,26,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,26,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,27,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,27,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,28,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,28,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,29,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,29,NA,1,0,0,1,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,31,NA,1,0,0,1,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,31,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,32,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,32,NA,1,0,0,1,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,33,NA,1,1,1,0,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,33,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,34,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,34,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,35,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,35,NA,1,0,0,1,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,36,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,36,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,41,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,41,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,42,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,42,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,43,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,43,NA,0,0,0,0,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,44,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,44,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,45,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,45,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,46,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,46,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,47,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,47,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,48,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,48,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,49,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,49,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,50,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,50,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,51,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,51,NA,0,0,0,0,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,52,NA,1,1,1,0,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,52,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,53,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,53,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,54,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,54,NA,1,0,0,1,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,55,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,55,NA,1,0,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,56,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,56,NA,1,0,0,1,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,57,NA,1,1,1,0,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,57,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,58,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,58,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,59,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,59,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,60,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,60,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,62,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,62,NA,1,2,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,63,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,63,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,64,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,64,NA,1,0,0,1,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,65,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,65,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,66,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,66,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,67,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,67,NA,1,2,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,68,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,68,NA,0,0,0,0,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,69,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,69,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,70,NA,1,1,1,0,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,70,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,71,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,71,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,72,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,72,NA,1,2,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,73,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,73,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,74,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,74,NA,1,0,0,1,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,75,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,75,NA,1,0,0,1,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,76,NA,0,2,1,0,1,"0"
"seed.pred.env_2020","seed.pred","2020",NA,76,NA,0,0,0,0,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,77,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,77,NA,0,0,0,0,0,"1"
"seed.pred.env_2020","seed.pred","2020",NA,78,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,78,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,79,NA,1,2,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,80,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,80,NA,1,1,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,82,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,82,NA,1,2,1,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,83,NA,0,0,0,0,0,"0"
"seed.pred.env_2020","seed.pred","2020",NA,83,NA,0,0,0,0,0,"1"
