"ID","hole_robbing"
"pA0869","1"
"pA0114","1"
"pA0125","1"
"pA0248","1"
"pA0515","1"
"pA0077","0"
"pA0007","1"
"pA0995","0"
"pA0018","1"
"pA0432","0"
"pA0662","1"
"pA1212","1"
"pA0361","1"
"pA0363","1"
"pA0964","1"
"pA0577","1"
"pA0998","1"
"pA1254","0"
"pA0347","1"
"pA0135","1"
"pA0883","1"
"pA0106","1"
"pA0444","1"
"pA0792","0"
"pA1013","1"
"pA1059","0"
"pA0002","1"
"pA0035","1"
"pA0102","1"
"pA0122","1"
"pA0148","1"
"pA0150","1"
"pA0154","1"
"pA0181","1"
"pA0302","1"
"pA0313","1"
"pA0375","1"
"pA0377","1"
"pA0436","1"
"pA0456","1"
"pA0584","1"
"pA0816","1"
"pA0865","1"
"pA0876","1"
"pA0893","1"
"pA0968","1"
"pA1001","1"
"pA0190","0"
"pA0272","0"
"pA0463","0"
"pA0519","0"
"pA0618","0"
"pA0981","0"
"pA0224","1"
"pA0508","1"
"pA0512","1"
"pA0686","1"
"pA0085","1"
"pA0123","1"
"pA0139","1"
"pA0156","1"
"pA0619","1"
"pA0910","1"
"pA1130","1"
"pA0581","1"
"pA1047","1"
"pA0538","1"
"pA0712","1"
"pA0763","1"
"pA0923","1"
"pA0482","0"
"pA0605",NA
"pA0918","1"
"pA0411","1"
"pA0831","1"
"pA0605","0"
"pA1115","0"
"pA0103","1"
"pA0230","1"
"pA0251","1"
"pA0257","1"
"pA0271","1"
"pA0287","1"
"pA0294","1"
"pA0367","1"
"pA0372","1"
"pA0404","1"
"pA0455","1"
"pA0496","1"
"pA0507","1"
"pA0511","1"
"pA0563","1"
"pA0576","1"
"pA0589","1"
"pA0614","1"
"pA0664","1"
"pA0717","1"
"pA0721","1"
"pA0756","1"
"pA0772","1"
"pA0828","1"
"pA0829","1"
"pA0845","1"
"pA0907","1"
"pA1017","1"
"pA1119","1"
"pA1122","1"
"pA0304","0"
"pA0590","0"
"pA0602","0"
"pA0702","0"
"pA0855","0"
"pA0771","1"
"pA0529","1"
"pA0326","1"
"pA0671","1"
"pA0061","1"
"pA0625","1"
"pA0655","1"
"pA0985","1"
"pA0414","0"
"pA0334","1"
"pA0783","1"
"pA1064","1"
"pA0104","0"
"pA0678","0"
"pA0822","0"
"pA0905","0"
"pA0993","0"
"pA0043","1"
"pA0062","1"
"pA0297","1"
"pA0484","1"
"pA0565","1"
"pA0567","1"
"pA0711","1"
"pA0813","1"
"pA0022","0"
"pA0452","0"
"pA0075","1"
"pA0089","1"
"pA0141","1"
"pA0157","1"
"pA0173","1"
"pA0188","1"
"pA0225","1"
"pA0250","1"
"pA0286","1"
"pA0405","1"
"pA0431","1"
"pA0592","1"
"pA0637","1"
"pA0720","1"
"pA0780","1"
"pA0858","1"
"pA0878","1"
"pA0914","1"
"pA0933","1"
"pA1041","1"
"pA1074","1"
"pA1111","1"
"pA1206","1"
"pA1243","1"
"pA0392","0"
"pA0555","0"
"pA0582","0"
"pA0737","0"
"pA0768","0"
"pA0840","0"
"pA0862","0"
"pA0965","0"
"pA1069","0"
"pA1118","0"
"pA1171","0"
"pA0015","1"
"pA0026","1"
"pA0029","1"
"pA0033","1"
"pA0036","1"
"pA0041","1"
"pA0042","1"
"pA0049","1"
"pA0052","1"
"pA0076","1"
"pA0090","1"
"pA0095","1"
"pA0109","1"
"pA0134","1"
"pA0137","1"
"pA0153","1"
"pA0160","1"
"pA0171","1"
"pA0194","1"
