"flower_colour","rosea","sulfurea","long_colour","spp","ID"
"Ye","r/r","s/s","yellow","striatum","pA0086"
"Wh","r/r","S/+","white","hybrid","PA0089"
"Wh","r/r","S/+","white","hybrid","PA0018"
"FR","R/R","S/+","full_red","pseudomajus","pA0012"
"WR","R/r","S/+","weak_red","hybrid","pA0083"
"FR","R/R","S/+","full_red","pseudomajus","pA0007"
"WR","R/r","S/+","weak_red","hybrid","pA0091"
"FR","R/R","S/+","full_red","pseudomajus","pA0013"
"WR","R/r","S/+","weak_red","hybrid","pA0011"
"Wh","r/r","S/+","white","hybrid","pA0010"
"WR","R/r","S/+","weak_red","hybrid","pA0098"
"WO","R/r","s/s","weak_orange","hybrid","pA0082"
"WR","R/r","S/+","weak_red","hybrid","pA0009"
"FO","R/R","s/s","full_orange","hybrid","pA0019"
"FR","R/R","S/+","full_red","pseudomajus","pA0020"
"FR","R/R","S/+","full_red","pseudomajus","pA0090"
"FR","R/R","S/+","full_red","pseudomajus","pA0037"
"FR","R/R","S/+","full_red","pseudomajus","pA0032"
"WO","R/r","s/s","weak_orange","hybrid","pA0078"
"WO","R/r","s/s","weak_orange","hybrid","pA0038"
"Wh","r/r","S/+","white","hybrid","pA0023"
"FR","R/R","S/+","full_red","pseudomajus","pA0073"
"FR","R/R","S/+","full_red","pseudomajus","pA0039"
"WR","R/r","S/+","weak_red","hybrid","pA0074"
"Wh","r/r","S/+","white","hybrid","pA0080"
"FR","R/R","S/+","full_red","pseudomajus","pA0066"
"Ye","r/r","s/s","yellow","striatum","pA0077"
"WR","R/r","S/+","weak_red","hybrid","pA0065"
"WR","R/r","S/+","weak_red","hybrid","pA0084"
"WO","R/r","s/s","weak_orange","hybrid","pA0062"
"FO","R/R","s/s","full_orange","hybrid","pA0033"
"FR","R/R","S/+","full_red","pseudomajus","pA0067"
"FR","R/R","S/+","full_red","pseudomajus","pA0034"
"FO","R/R","s/s","full_orange","hybrid","pA0093"
"WR","R/r","S/+","weak_red","hybrid","pA0071"
"WO","R/r","s/s","weak_orange","hybrid","pA0063"
"FR","R/R","S/+","full_red","pseudomajus","pA0016"
"WR","R/r","S/+","weak_red","hybrid","pA0064"
"FR","R/R","S/+","full_red","pseudomajus","pA0004"
"FR","R/R","S/+","full_red","pseudomajus","pA0002"
"FR","R/R","S/+","full_red","pseudomajus","pA0014"
"WR","R/r","S/+","weak_red","hybrid","pA0026"
"FR","R/R","S/+","full_red","pseudomajus","pA0068"
"WR","R/r","S/+","weak_red","hybrid","pA0027"
"WO","R/r","s/s","weak_orange","hybrid","pA0006"
"FO","R/R","s/s","full_orange","hybrid","pA0030"
"WR","R/r","S/+","weak_red","hybrid","pA0070"
"FO","R/R","s/s","full_orange","hybrid","pA0072"
"WO","R/r","s/s","weak_orange","hybrid","pA0040"
"FR","R/R","S/+","full_red","pseudomajus","pA0008"
"FR","R/R","S/+","full_red","pseudomajus","pA0036"
"WO","R/r","s/s","weak_orange","hybrid","pA0015"
"FR","R/R","S/+","full_red","pseudomajus","pA0081"
"FR","R/R","S/+","full_red","pseudomajus","pA0017"
"FR","R/R","S/+","full_red","pseudomajus","pA0025"
"WR","R/r","S/+","weak_red","hybrid","pA0035"
"FR","R/R","S/+","full_red","pseudomajus","pA0024"
"FR","R/R","S/+","full_red","pseudomajus","pA0001"
"Ye","r/r","s/s","yellow","striatum","pA0022"
"FR","R/R","S/+","full_red","pseudomajus","pA0088"
"FR","R/R","S/+","full_red","pseudomajus","pA0097"
"FR","R/R","S/+","full_red","pseudomajus","pA0029"
"FR","R/R","S/+","full_red","pseudomajus","pA0076"
"FR","R/R","S/+","full_red","pseudomajus","pA0094"
"FR","R/R","S/+","full_red","pseudomajus","pA0085"
"FR","R/R","S/+","full_red","pseudomajus","pA0028"
"FR","R/R","S/+","full_red","pseudomajus","pA0087"
"FR","R/R","S/+","full_red","pseudomajus","pA0005"
"FR","R/R","S/+","full_red","pseudomajus","pA0096"
"FR","R/R","S/+","full_red","pseudomajus","pA0031"
"FR","R/R","S/+","full_red","pseudomajus","pA0061"
"FR","R/R","S/+","full_red","pseudomajus","pA0079"
"WR","R/r","S/+","weak_red","hybrid","pA0092"
"WR","R/r","S/+","weak_red","hybrid","pA0099"
"Ye","r/r","s/s","yellow","striatum","pA0069"
"FR","R/R","S/+","full_red","pseudomajus","pA0100"
"WR","R/r","S/+","weak_red","hybrid","pA0021"
"WR","R/r","S/+","weak_red","hybrid","pA0095"
"WR","R/r","S/+","weak_red","hybrid","pA0139"
"FO","R/R","s/s","full_orange","hybrid","pA0153"
"FR","R/R","S/+","full_red","pseudomajus","pA0131"
"WR","R/r","S/+","weak_red","hybrid","pA0118"
"FR","R/R","S/+","full_red","pseudomajus","pA0109"
"FO","R/R","s/s","full_orange","hybrid","pA0163"
"WR","R/r","S/+","weak_red","hybrid","pA0155"
"FR","R/R","S/+","full_red","pseudomajus","pA0149"
"FR","R/R","S/+","full_red","pseudomajus","pA0158"
"WO","R/r","s/s","weak_orange","hybrid","pA0177"
"WO","R/r","s/s","weak_orange","hybrid","pA0159"
"Wh","r/r","S/+","white","hybrid","pA0124"
"WO","R/r","s/s","weak_orange","hybrid","pA0133"
"FR","R/R","S/+","full_red","pseudomajus","pA0104"
"Ye","r/r","s/s","yellow","striatum","pA0132"
"WO","R/r","s/s","weak_orange","hybrid","pA0126"
"Wh","r/r","S/+","white","hybrid","pA0154"
"WR","R/r","S/+","weak_red","hybrid","pA0151"
"FO","R/R","s/s","full_orange","hybrid","pA0136"
"FR","R/R","S/+","full_red","pseudomajus","pA0106"
"WR","R/r","S/+","weak_red","hybrid","pA0123"
"FO","R/R","s/s","full_orange","hybrid","pA0105"
"WR","R/r","S/+","weak_red","hybrid","pA0144"
"WR","R/r","S/+","weak_red","hybrid","pA0157"
"FR","R/R","S/+","full_red","pseudomajus","pA0148"
"FR","R/R","S/+","full_red","pseudomajus","pA0141"
