"dataset.id","interaction","year","date","plant.id.field","height.field","fl.stems.field","tot.fl.field","tot.fr.field"
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0057",NA,5,2,60
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0057",NA,5,2,60
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1257",NA,2,8,12
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1257",NA,2,8,12
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0429",NA,2,16,11
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0429",NA,2,16,11
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0688",NA,1,4,9
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0688",NA,1,4,9
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0519",NA,3,2,27
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0519",NA,3,2,27
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0827",NA,2,13,14
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0827",NA,2,13,14
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0515",NA,3,7,23
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0515",NA,3,7,23
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0071",NA,5,9,32
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0071",NA,5,9,32
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0697",NA,2,4,9
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0697",NA,2,4,9
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0431",NA,1,2,12
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0431",NA,1,2,12
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0002",NA,4,5,38
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0002",NA,4,5,38
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0821",NA,2,14,14
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0821",NA,2,14,14
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1248",NA,4,18,3
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1248",NA,4,18,3
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0083",NA,2,7,36
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0083",NA,2,7,36
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1073",NA,2,4,8
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1073",NA,2,4,8
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0473",NA,3,23,50
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0473",NA,3,23,50
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0469",NA,3,13,13
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0469",NA,3,13,13
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1640",NA,2,9,3
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1640",NA,2,9,3
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0414",NA,2,3,6
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0414",NA,2,3,6
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0693",NA,1,3,11
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z0693",NA,1,3,11
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1251",NA,2,11,10
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1251",NA,2,11,10
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1961",NA,4,8,3
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1961",NA,4,8,3
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1966",NA,1,5,5
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1966",NA,1,5,5
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1964",NA,2,4,6
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","28.06.2019","Z1964",NA,2,4,6
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1723",NA,9,21,0
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1723",NA,9,21,0
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1614",NA,4,22,12
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1614",NA,4,22,12
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1620",NA,7,39,18
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1620",NA,7,39,18
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1950",NA,4,7,5
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1950",NA,4,7,5
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1948",NA,4,23,3
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1948",NA,4,23,3
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1943",NA,4,17,14
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1943",NA,4,17,14
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1945",NA,9,94,32
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1945",NA,9,94,32
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1951",NA,9,41,39
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1951",NA,9,41,39
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1908",NA,15,104,3
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1908",NA,15,104,3
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1904",NA,2,9,5
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1904",NA,2,9,5
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1902",NA,5,18,2
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1902",NA,5,18,2
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1909",NA,5,25,0
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1909",NA,5,25,0
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1756",NA,5,26,8
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1756",NA,5,26,8
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1752",NA,3,4,12
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1752",NA,3,4,12
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1719",NA,1,4,8
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z1719",NA,1,4,8
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z0785",NA,7,13,18
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z0785",NA,7,13,18
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z0596",NA,6,10,5
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z0596",NA,6,10,5
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z0957",NA,15,31,37
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z0957",NA,15,31,37
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z0584",NA,1,12,9
"RobFlorivFrugiv_2019","RobFlorivFrugiv","2019","30.06.2019","Z0584",NA,1,12,9
