plant_ID,plant_stems,plant_fruit,plant_flowers,focal_fruit,focal_flowers,location,sampling_date,processing_date,flower_ID,base,corolla,face,cap,top,chin,larvae,thrips,weevil,bronze,aphid,caterpillar,other,colour,total_insects,total_damage
Z0057,5,60,2,18,2,lower_core,28.06.2019,30.06.2019,bottom,0,0,0,0,0,1,4,<5,0,0,0,0,0,weak_orange,4,1
Z0057,5,60,2,18,2,lower_core,28.06.2019,30.06.2019,top,0,0,0,0,0,0,2,>5,0,0,0,0,0,weak_orange,2,0
Z1257,2,12,8,7,8,lower_core,28.06.2019,30.06.2019,bottom,0,0,0,0,0,0,0,>5,1,6,0,0,0,red,7,0
Z1257,2,12,8,7,8,lower_core,28.06.2019,28.06.2019,top,0,0,0,0,0,0,1,>5,0,0,0,0,0,red,1,0
Z0429,2,11,16,0,5,lower_core,28.06.2019,30.06.2019,bottom,0,0,1,0,0,0,0,<5,0,2,0,0,0,red,2,1
Z0429,2,11,16,0,5,lower_core,28.06.2019,29.06.2019,top,0,0,0,0,0,0,0,<5,0,0,0,0,0,red,0,0
Z0688,1,9,4,9,4,lower_core,28.06.2019,30.06.2019,bottom,0,0,0,0,0,0,0,0,0,0,0,0,big different larvae,weak_orange,1,0
Z0688,1,9,4,9,4,lower_core,28.06.2019,28.06.2019,top,0,0,0,0,0,0,0,<5,0,0,0,0,0,weak_orange,0,0
Z0519,3,27,2,4,2,lower_core,28.06.2019,29.06.2019,top,0,0,0,0,0,0,5,>5,0,0,0,0,0,red,5,0
Z0519,3,27,2,4,2,lower_core,28.06.2019,29.06.2019,bottom,0,0,0,0,0,0,2,>5,0,2,0,0,0,red,4,0
Z0827,2,14,13,0,4,lower_core,28.06.2019,30.06.2019,top,0,0,1,0,0,0,0,<5,0,0,1,0,small different larvae,weak_orange,2,1
Z0827,2,14,13,0,4,lower_core,28.06.2019,28.06.2019,bottom,0,0,0,0,0,0,0,>5,0,11,0,0,0,weak_orange,11,0
Z0515,3,23,7,3,3,lower_core,28.06.2019,29.06.2019,top,0,1,0,0,0,0,1,<5,0,0,1,0,0,yellow,2,1
Z0515,3,23,7,3,3,lower_core,28.06.2019,28.06.2019,bottom,0,0,0,0,0,0,0,>5,1,0,0,0,0,yellow,1,0
Z0071,5,32,9,4,8,lower_core,28.06.2019,29.06.2019,bottom,1,0,1,1,0,0,1,>5,0,0,0,0,0,red,1,3
Z0071,5,32,9,4,8,lower_core,28.06.2019,29.06.2019,top,0,0,0,0,0,0,2,<5,0,0,0,0,fly,red,3,0
Z0697,2,9,4,6,3,lower_core,28.06.2019,29.06.2019,bottom,0,0,0,0,0,0,0,>5,0,1,0,0,0,yellow,1,0
Z0697,2,9,4,6,3,lower_core,28.06.2019,28.06.2019,top,0,0,0,0,0,0,0,>5,0,0,0,0,0,yellow,0,0
Z0431,1,12,2,12,2,lower_core,28.06.2019,29.06.2019,top,0,0,0,0,0,1,2,>5,0,2,0,0,0,white,4,1
Z0431,1,12,2,12,2,lower_core,28.06.2019,29.06.2019,bottom,0,0,0,0,0,0,1,>5,1,2,0,0,0,white,4,0
Z0002,4,38,5,4,3,lower_core,28.06.2019,29.06.2019,bottom,0,0,0,0,0,1,1,>5,1,3,0,0,0,pink,5,1
Z0002,4,38,5,4,3,lower_core,28.06.2019,29.06.2019,top,0,1,0,1,0,1,0,<5,0,0,0,0,0,pink,0,3
Z0821,2,14,14,6,8,lower_core,28.06.2019,29.06.2019,top,0,0,0,0,0,1,7,<5,0,0,0,0,0,white,7,1
Z0821,2,14,14,6,8,lower_core,28.06.2019,29.06.2019,bottom,0,0,1,0,0,0,0,>5,0,3,0,0,0,white,3,1
Z1248,4,3,18,3,4,lower_core,28.06.2019,28.06.2019,top,0,0,0,0,0,1,1,<5,0,2,2,0,0,red,5,1
